Brand,Price,Sales,BSR,Active Sellers #,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Dimensions,Weight,period,Creation Date_year,Creation Date_month,Creation Date_day,Size Tier_Large Envelope,Size Tier_Large Letter,Size Tier_Large Oversize,Size Tier_Small Envelope,Size Tier_Small Oversize,Size Tier_Standard Envelope,Size Tier_Standard Parcel,Delivery_AMZ,Delivery_FBA,Delivery_MFN
8,-0.9808805611316675,63,20548,-0.5505206326752106,4,-0.42768190107958687,-0.017280254327795737,0.072840081994146,629,8,-0.5799562779231496,-1.0113853589299902,329,2021,2,5,0,0,1,0,0,0,0,0,1,0
1135,-0.34352030492290636,114,20131,-0.5505206326752106,4,-0.34623523667073985,1.3528214947512986,0.0032334738069000374,588,8,0.25225139794582135,0.3935675281718631,415,2020,11,11,0,0,1,0,0,0,0,0,0,1
1222,-1.1848358431184711,24,31323,-0.5505206326752106,5,-0.6053837143352532,-0.702331128867343,0.0032334738069000374,643,13,0.25225139794582135,0.3935675281718631,1134,2018,11,23,0,0,1,0,0,0,0,0,0,1
187,0.29511467179827233,85,12268,0.6706896793644255,4,0.7644010961771743,1.0102960574815252,0.072840081994146,38,8,0.12192126764584199,0.7319868367438425,638,2020,4,2,0,0,1,0,0,0,0,1,0,0
1248,-0.8534085098899153,46,18170,-0.5505206326752106,3,-0.597979472116267,-0.017280254327795737,0.0032334738069000374,657,8,0.25225139794582135,0.3935675281718631,73,2021,10,19,0,0,1,0,0,0,0,0,0,1
1135,-1.1720886379942959,34,18071,-0.5505206326752106,0,-0.6127879565542392,-0.702331128867343,0.0032334738069000374,588,8,0.25225139794582135,0.3935675281718631,88,2021,10,4,0,0,1,0,0,0,0,0,0,1
1297,-0.08857620243940188,206,20596,-0.5505206326752106,5,-0.11670372788217091,1.6953469320210723,0.0032334738069000374,209,8,0.25225139794582135,0.3935675281718631,295,2021,3,11,0,0,1,0,0,0,0,0,0,1
894,1.6960325149451292,37,19622,-0.5505206326752106,4,-0.19815039229101794,1.0102960574815252,0.072840081994146,588,8,0.7385267532947263,0.5986701394276083,1996,2016,7,14,0,0,1,0,0,0,0,0,0,1
188,0.014676159066417485,40,20177,-0.5505206326752106,4,-0.16853342341507357,-0.017280254327795737,0.0032334738069000374,38,8,-0.6372553496054217,0.5063739643625227,638,2020,4,2,0,0,1,0,0,0,0,1,0,0
1135,-1.1720886379942959,21,23151,-0.5505206326752106,0,-0.6127879565542392,-0.702331128867343,0.0032334738069000374,588,8,0.25225139794582135,0.3935675281718631,88,2021,10,4,0,0,1,0,0,0,0,0,0,1
1265,2.8432809761208997,14,39238,0.0600845233446075,4,-0.4424903855175591,1.6953469320210723,0.072840081994146,675,8,2.692441334802688,3.1316873884360588,1979,2016,7,31,0,0,1,0,0,0,0,0,1,0
735,0.1663679000441026,31,36476,-0.5505206326752106,5,-0.5757667454593087,1.3528214947512986,0.0032334738069000374,156,8,1.544872269448163,0.752497097869417,448,2020,10,9,0,0,1,0,0,0,0,0,1,0
735,0.548784053769359,33,71225,-0.5505206326752106,4,-0.5831709876782949,1.3528214947512986,0.072840081994146,156,8,1.1639849894241925,0.762752228432204,448,2020,10,9,0,0,1,0,0,0,0,0,1,0
187,0.548784053769359,47,19785,0.6706896793644255,4,0.18687020309625896,0.3252451829419779,-0.06637313438034592,38,8,-0.12257401555256867,0.6807111839299064,1193,2018,9,25,0,0,1,0,0,0,0,1,0,0
435,-0.34352030492290636,28,36561,-0.5505206326752106,4,-0.5091285654884339,-0.017280254327795737,0.0032334738069000374,226,8,-0.17229575407786532,0.9165791868740132,297,2021,3,9,0,0,1,0,0,0,0,0,1,0
187,-0.5984644074064108,62,31576,0.0600845233446075,4,-0.2425758456049345,1.3528214947512986,0.072840081994146,675,8,-1.2277460977668728,-1.1036815339950756,473,2020,9,14,0,0,0,0,1,0,0,0,1,0
187,0.29511467179827233,33,72501,0.0600845233446075,5,-0.18334190785304577,-0.017280254327795737,0.072840081994146,38,8,0.21113534493451816,0.7319868367438425,638,2020,4,2,0,0,1,0,0,0,0,1,0,0
925,-0.8534085098899153,20,30770,-0.5505206326752106,4,-0.5387455343643783,1.6953469320210723,0.072840081994146,172,8,-0.9375522791241309,-1.1241917951206502,191,2021,6,23,0,0,0,0,1,0,0,0,1,0
735,0.29383995128585483,24,32119,-0.5505206326752106,5,-0.590575229897281,1.3528214947512986,0.0032334738069000374,156,8,1.517729179603712,0.752497097869417,448,2020,10,9,0,0,1,0,0,0,0,0,1,0
1265,0.8037281562528635,31,67739,-0.5505206326752106,4,1.1494216915644513,1.0102960574815252,0.14244669018139197,675,8,-0.3200266887347564,1.4498459761389502,2410,2015,5,27,0,0,1,0,0,0,0,0,0,1
1297,-0.08857620243940188,87,36238,-0.5505206326752106,4,-0.28700129891885107,1.6953469320210723,0.0032334738069000374,209,8,3.9749951779679047,2.075408940468973,627,2020,4,13,0,0,1,0,0,0,0,0,0,1
735,0.548784053769359,42,42957,-0.5505206326752106,4,-0.6053837143352532,1.3528214947512986,0.0032334738069000374,156,8,1.429281856265443,0.752497097869417,129,2021,8,24,0,0,1,0,0,0,0,0,1,0
1248,0.8674641818737396,13,36308,-0.5505206326752106,5,-0.597979472116267,-0.35980569159756937,0.0032334738069000374,657,8,3.5105226967147254,0.7319868367438425,304,2021,3,2,0,0,1,0,0,0,0,0,0,1
1150,-0.34352030492290636,23,27677,-0.5505206326752106,4,1.5418465291707142,-1.0448565661371165,0.0032334738069000374,600,8,-0.5413569819961276,-0.3140364806604572,1110,2018,12,17,0,0,1,0,0,0,0,0,1,0
1274,-0.9541114303708996,23,41019,1.8918999914040615,4,0.8014223072721048,0.6677706202117515,0.0032334738069000374,395,8,-0.8674619474221072,-0.9908750978044158,837,2019,9,16,0,0,1,0,0,0,0,0,0,1
189,-0.47226707667707607,5,35347,0.6706896793644255,3,-0.361043721108712,-1.0448565661371165,0.14244669018139197,49,8,-0.9964931063237479,-0.42684291685111686,437,2020,10,20,0,0,1,0,0,0,0,0,1,0
894,-0.27978427930203026,22,37898,-0.5505206326752106,4,-0.31661826779479546,0.6677706202117515,0.0032334738069000374,588,8,0.25225139794582135,0.3935675281718631,2430,2015,5,7,0,0,1,0,0,0,0,0,0,1
188,0.17019206158135508,37,45018,-0.5505206326752106,4,-0.19074615007203186,-0.017280254327795737,0.0032334738069000374,38,8,0.18097034246198676,0.7319868367438425,638,2020,4,2,0,0,1,0,0,0,0,1,0,0
894,1.2498803355989963,18,50024,-0.5505206326752106,4,0.26831686750510597,0.6677706202117515,0.0032334738069000374,588,8,0.7742935699225932,0.2807610919812034,2425,2015,5,12,0,0,1,0,0,0,0,0,0,1
925,-0.8534085098899153,7,52267,-0.5505206326752106,5,-0.5757667454593087,1.6953469320210723,0.0032334738069000374,172,8,-0.9172558510250894,-1.1447020562462247,191,2021,6,23,0,0,0,0,1,0,0,0,1,0
187,-0.08857620243940188,34,60551,-0.5505206326752106,5,-0.597979472116267,1.6953469320210723,0.0032334738069000374,651,8,-0.6977296847058552,-0.20123004446979734,473,2020,9,14,0,0,1,0,0,0,0,0,1,0
1297,-0.08857620243940188,45,65128,-0.5505206326752106,4,-0.24998008782392062,1.6953469320210723,0.0032334738069000374,209,8,3.922711579184774,2.0241332876550358,827,2019,9,26,0,0,1,0,0,0,0,0,0,1
1135,-1.0446165867525437,12,63335,-0.5505206326752106,4,-0.22776736116696233,-0.017280254327795737,0.0032334738069000374,588,8,0.25225139794582135,0.3935675281718631,758,2019,12,4,0,0,1,0,0,0,0,0,0,1
1218,-1.1083526123734198,3,67035,-0.5505206326752106,4,-0.5535540188023504,-0.35980569159756937,0.0032334738069000374,667,13,0.25225139794582135,0.3935675281718631,2584,2014,12,4,0,0,1,0,0,0,0,0,0,1
1248,0.472300823024308,16,68506,-0.5505206326752106,4,-0.51653280770742,-1.0448565661371165,0.0032334738069000374,657,8,0.25225139794582135,0.3935675281718631,305,2021,3,1,0,0,1,0,0,0,0,0,0,1
157,1.1236830048696618,13,72265,-0.5505206326752106,5,0.5274653451696193,1.3528214947512986,0.0032334738069000374,39,13,1.3615098276840654,-1.3292944063763952,496,2020,8,22,0,0,0,0,1,0,0,1,0,0
1297,-0.08857620243940188,30,73168,-0.5505206326752106,5,-0.5387455343643783,1.6953469320210723,0.0032334738069000374,209,8,3.6911699274309053,1.9113268514643762,444,2020,10,13,0,0,1,0,0,0,0,0,0,1
1135,-1.0446165867525437,5,71100,-0.5505206326752106,4,-0.5017243232694478,0.3252451829419779,0.0032334738069000374,588,8,0.25225139794582135,0.3935675281718631,758,2019,12,4,0,0,1,0,0,0,0,0,0,1
877,2.4608648223956426,5,81193,-0.5505206326752106,0,-0.6127879565542392,-0.017280254327795737,0.0032334738069000374,209,13,0.25225139794582135,0.3935675281718631,193,2021,6,21,0,0,1,0,0,0,0,0,0,1
1265,-0.08857620243940188,12,85069,-0.5505206326752106,4,0.1572532342203146,0.3252451829419779,0.072840081994146,675,8,-0.9568383961355759,-0.42684291685111686,1135,2018,11,22,0,0,1,0,0,0,0,0,0,1
1135,-1.0446165867525437,6,81274,-0.5505206326752106,4,-0.33883099445175374,-0.35980569159756937,0.0032334738069000374,588,8,0.25225139794582135,0.3935675281718631,420,2020,11,6,0,0,1,0,0,0,0,0,0,1
1274,-0.4709923561646586,27,89436,0.6706896793644255,5,-0.5387455343643783,-1.0448565661371165,0.0032334738069000374,248,8,0.5554529718413712,0.752497097869417,2325,2015,8,20,0,0,1,0,0,0,0,0,1,0
1150,-0.08857620243940188,5,96919,-0.5505206326752106,4,4.777500378867638,-1.0448565661371165,0.28165990655588385,651,8,-0.5740748240917828,-0.26276082784652094,1110,2018,12,17,0,0,1,0,0,0,0,0,1,0
1274,-1.1708139174818784,2,95760,-0.5505206326752106,4,-0.597979472116267,-0.35980569159756937,0.0032334738069000374,667,13,-0.8761758805526291,-1.0113853589299902,2520,2015,2,6,0,0,1,0,0,0,0,0,0,1
189,0.682629707573199,3,93901,-0.5505206326752106,4,-0.5683625032403227,-0.702331128867343,0.0032334738069000374,49,8,0.25225139794582135,0.3935675281718631,437,2020,10,20,0,0,1,0,0,0,0,0,0,1
877,2.078448668670386,8,96835,-0.5505206326752106,0,-0.6127879565542392,-0.35980569159756937,0.0032334738069000374,209,13,0.25225139794582135,0.3935675281718631,88,2021,10,4,0,0,1,0,0,0,0,0,0,1
895,-0.08857620243940188,2,98842,-0.5505206326752106,4,0.4089974696658418,-1.0448565661371165,0.0032334738069000374,209,8,-0.45741997601320217,-0.5704147447301385,291,2021,3,15,0,0,1,0,0,0,0,0,0,1
189,-0.40343216900653,4,95442,-0.5505206326752106,4,-0.597979472116267,-0.702331128867343,0.0032334738069000374,49,8,-0.89817720861199,-0.4473531779766914,247,2021,4,28,0,0,1,0,0,0,0,0,1,0
