Product Details,ASIN,Brand,Price,Sales,BSR,FBA Fees,Active Sellers #,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Delivery,Dimensions,Weight,Creation Date
"Smirnoff Red Label Vodka, 1L",B00439VO6I,Smirnoff,15.99,12603.0,21.0,4.54,16.0,5.0,11986.0,10.0,336.0,Amazon,"Beer, Wine & Spirits",Large Oversize,AMZ,4.7x14.8x4.6,3.99,10/22/2010
"Dettol Wipes Antibacterial Bulk Surface Cleaning, Multipack of 6 x 126, Total 756 Wipes",B01N16BG67,Dettol,14.89,2074.0,4.0,6.9,14.0,5.0,11338.0,8.0,85.0,,"Business, Industry & Science",Large Oversize,AMZ,9.9x10.9x8.4,9.26,1/25/2017
Starbucks Blonde Espresso Roast by Nespresso Coffee Pods 8 x 10 Capsules,B07X63HBQ4,STARBUCKS,28.0,12987.0,23.0,6.78,4.0,5.0,23218.0,8.0,223.0,,Drinks,Large Oversize,AMZ,6.3x11.5x3.3,1.5,10/23/2019
"Andrex Washlets Classic Clean Toilet Tissue Wet Wipes with Micellar Water (Flushable Tissue Wipes), 12 Packs (480 Tissues)",B071LPLXQS,Andrex,12.0,13149.0,24.0,5.98,42.0,5.0,11788.0,6.0,372.0,Amazon,Grocery,Large Oversize,AMZ,7.8x9.0x6.6,4.81,6/14/2017
"Bloo Power Active Toilet Rim Block Fresh Flowers with Anti-Limescale, Cleaning Foam, Dirt Protection and Extra Freshness - 1x 50g, Pack of 1",B072FTMZRS,Bloo,1.0,12663.0,26.0,2.46,29.0,5.0,9747.0,7.0,377.0,Amazon,Grocery,Standard Parcel,AMZ,5.0x6.6x1.4,0.15,5/30/2017
"Whitley Neill Blood Orange Gin, 1 Litre",B07YCD8FFY,Whitley Neill,34.2,12432.0,31.0,6.4,2.0,5.0,23301.0,3.0,305.0,Amazon,"Beer, Wine & Spirits",Large Oversize,AMZ,3.7x10.6x3.6,3.73,9/24/2019
"Dr Beckmann Carpet Stain Remover with Cleaning applicator/brush-650ml, White, 10 x 30 x 35 cm",B006ZMNWYS,Dr. Beckmann,2.79,3783.0,1.0,2.93,72.0,5.0,11572.0,1.0,280.0,Amazon,Automotive,Large Oversize,AMZ,4.5x10.6x2.7,1.54,6/23/2020
"Mr Muscle Drain Unblocker, Drain Cleaner Power Gel, 1 Litre",B075V2FD1V,Mr Muscle,3.5,12877.0,29.0,3.05,14.0,5.0,11170.0,8.0,579.0,Amazon,Grocery,Large Oversize,AMZ,3.2x10.8x2.9,2.51,9/12/2017
Amazon Brand - Presto! 2-Ply Embossed Toilet Tissues Rolls - 18 Rolls,B092F68R3W,Presto!,7.36,13163.0,30.0,2.93,1.0,5.0,20158.0,5.0,8207.0,Amazon,Grocery,Large Oversize,AMZ,11.4x13.0x7.9,0.88,7/23/2021
MONIN Premium Cinnamon Syrup 1 L,B004FN6TTO,Monin,9.35,12471.0,28.0,3.42,12.0,5.0,20407.0,5.0,319.0,Amazon,Drinks,Large Oversize,AMZ,3.0x12.9x3.0,3.02,12/8/2010
"Finish All-in-One Max Dishwasher Tablets, LEMON, Multipack of 5 x 30, Total 150 Tablets",B08DDXQWMN,Finish,25.99,12954.0,31.0,,4.0,5.0,19470.0,6.0,446.0,Trustu,Grocery,Large Oversize,MFN,9.1x15.7x7.7,6.39,7/20/2020
"Plenty Kitchen Towel, 6 White Rolls, 600 Sheets, 2-Ply Tissue",B07XD2YQ8N,Plenty,7.0,12806.0,32.0,3.23,30.0,5.0,2930.0,4.0,490.0,Amazon,Grocery,Large Oversize,AMZ,11.3x15.2x9.6,3.04,7/1/2019
"Dettol Anti Bacterial Washing Machine Cleaner, 250ml",B011QFZ9DK,Dettol,3.0,12886.0,34.0,2.56,18.0,5.0,21106.0,5.0,493.0,Amazon,Grocery,Large Oversize,AMZ,3.5x6.3x2.0,0.64,7/8/2015
"Yorkshire Gold, 200 Tea Bags with Tags (total 200 teabags)",B00GLTDKFQ,Yorkshire Tea,17.14,6884.0,34.0,5.28,3.0,5.0,12783.0,9.0,544.0,,Drinks,Large Oversize,MFN,8.0x11.1x5.0,2.14,11/11/2013
"HG Mould Remover Foam Spray, Fast & Effective Mould Spray & Mildew Cleaner, Removes Mouldy Stains From Walls, Tiles, Silicone Seals & More (500ml) - 138050106",B01CRBEUVO,HG,5.5,11852.0,35.0,3.05,10.0,5.0,16687.0,5.0,268.0,,Grocery,Large Oversize,AMZ,4.7x9.6x2.9,1.37,3/9/2016
Persil Bio stain removal first time Laundry Washing Liquid Detergent 100% recyclable bottle 53 Wash 1.431 L,B08J1MQFT3,Persil,6.5,12054.0,40.0,3.44,10.0,5.0,3777.0,7.0,547.0,Amazon,Grocery,Large Oversize,AMZ,6.7x12.4x2.8,3.59,9/9/2020
Chocolate Lovers Hamper Cosmic Box - Selection of Your Favourite Chocolate Bars,B086QRCZ5B,A-Z Sweetshop,11.35,6194.0,39.0,4.24,1.0,5.0,3514.0,8.0,69.0,CB UK LTD,Hampers & Gourmet Gifts,Large Oversize,FBA,9.0x13.1x1.3,1.74,2/18/2020
"Amazon Brand - Solimo Nespresso Compatible Espresso Capsules, 50 capsules (1 x 50)",B08WSPWW6C,Solimo,6.26,12383.0,37.0,2.84,1.0,4.0,23901.0,6.0,147.0,Amazon,Drinks,Large Oversize,AMZ,5.6x5.9x3.9,0.82,7/19/2021
"Persil Powercaps Bio Washing Capsules, 50 wash",B07CMDGCLY,Persil,14.48,12088.0,37.0,4.88,2.0,5.0,7348.0,8.0,380.0,Amazon,Grocery,Large Oversize,AMZ,9.9x11.8x3.9,3.04,4/23/2018
Cadbury Dairy Milk Chocolate Gift Bar 850g,B0714LLB2T,Cadbury,8.49,11293.0,41.0,3.19,16.0,5.0,19832.0,5.0,336.0,Amazon,Food Cupboard,Large Oversize,AMZ,6.6x16.6x0.7,1.98,9/15/2015
"Method Antibacterial Spray, All Purpose Cleaner, Orange Yuzu, 828 ml",B084HT7NJH,Method,2.5,12174.0,42.0,2.75,15.0,5.0,2110.0,5.0,100.0,Amazon,Grocery,Large Oversize,AMZ,3.3x10.0x3.0,1.96,1/20/2020
"Cillit Bang Black Mould Remover, 750ml",B00XVJG1HI,Cillit Bang,2.0,11929.0,43.0,2.89,10.0,5.0,10622.0,8.0,358.0,Amazon,Grocery,Large Oversize,AMZ,5.0x10.9x2.8,1.87,11/12/2015
"simplehuman CW0298 Code V Custom Fit Bin Liners, Blue Plastic (Pack of 20 Liners)",B06W9KT56R,simplehuman,4.95,12614.0,36.0,2.97,5.0,5.0,66998.0,5.0,172.0,simplehuman®,Grocery,Large Oversize,MFN,6.1x9.0x1.3,0.66,11/11/2015
IRN-BRU | 24 x 330ml Cans | BRU'd in Scotland Since 1901 to a Secret Recipe With 32 Flavours | It Tastes Magic,B0048F1VT2,IRN-BRU,7.0,10590.0,48.0,6.04,20.0,5.0,7512.0,9.0,238.0,Amazon,Drinks,Large Oversize,AMZ,10.4x15.9x4.8,18.67,10/21/2010
"Flash Powermop Starter Kit, Mop + 10 Absorbing Refill Pads + 500 ml Cleaning Solution + 4 Batteries, Fresh",B07TF2R6CT,FLASH,18.69,8902.0,46.0,8.36,13.0,5.0,12949.0,9.0,481.0,Amazon,Grocery,Large Oversize,AMZ,6.3x19.7x5.2,4.81,8/1/2019
"HIGH5 ZERO Electrolyte Hydration Tablets Added Vitamin C - (Berry, 20 Tab Tube)",B003AIF4Q4,HIGH5,4.19,17196.0,16.0,2.54,13.0,5.0,7788.0,6.0,432.0,Amazon,Health & Personal Care,Standard Parcel,AMZ,5.7x10.0x1.1,0.22,1/1/2006
"Domestos Original Thick Bleach 750ml, Packaging May Vary",B000NJUM5Q,Diversey,0.98,11209.0,50.0,2.85,25.0,5.0,4817.0,5.0,349.0,Amazon,Grocery,Large Oversize,AMZ,5.7x12.5x2.9,1.98,2/16/2007
BARR American Cream Soda | 24 x 330ml Cans | A Fizzy Drink for Everyone | Fizzing with Flavour,B01LTIQAIM,Barr,6.0,11718.0,51.0,5.96,27.0,5.0,9779.0,6.0,443.0,Amazon,Drinks,Large Oversize,AMZ,10.5x17.4x4.6,18.47,12/31/2012
"M&M's Peanut Chocolate Party Bulk Bag, Christmas Chocolate Gift, Stocking Fillers, 1 kg",B00DGL2GC0,M&M's,6.0,2748.0,52.0,3.15,51.0,5.0,17854.0,8.0,551.0,Amazon,Food Cupboard,Large Oversize,AMZ,7.3x8.5x2.2,2.23,2/9/2014
Retro Sweets Gift Box: Just Treats Cosmic Gift Box: Jam Packed with The Retro Sweets,B00OQ1P4IC,A-Z Sweetshop,9.97,5048.0,51.0,3.02,1.0,5.0,7041.0,9.0,31.0,CB UK LTD,Hampers & Gourmet Gifts,Large Oversize,FBA,9.0x13.0x1.4,1.68,10/21/2014
"Finish Quantum Ultimate Dishwasher Lemon Scent, Pack of 85 Tablets & Dishwasher Cleaner LEMON, Pack of 8",B096VBLRWZ,Finish,28.0,11827.0,53.0,,1.0,5.0,11320.0,6.0,234.0,Amazon,Grocery,,AMZ,,,6/8/2021
RUBICON Sparkling Mango | 18 x 330ml Cans | Get Your Tastebuds Tingling with our Rubicon Sparking Range - Packed with Real Fruit Juice | Make the Unboring Choice,B07HVF8LY7,Rubicon,6.0,11915.0,55.0,5.77,13.0,5.0,7619.0,6.0,347.0,Amazon,Drinks,Large Oversize,AMZ,8.0x16.1x4.7,14.0,9/29/2018
L’OR Coffee Pod Advent Calendar (24 Nespresso®* Compatible Coffee Capsules),B099MWTMN6,L'OR,26.2,11273.0,52.0,6.44,5.0,5.0,8236.0,10.0,268.0,Premier Life Store,Drinks,Large Oversize,MFN,10.2x15.1x1.3,0.62,9/22/2021
"Stella Artois Belgium Premium Lager Beer Bottle, 20 x 284ml",B06XDBZG3T,STELLA ARTOIS,15.45,1740.0,115.0,,1.0,5.0,1589.0,12.0,9.0,Amazon,"Beer, Wine & Spirits",Large Oversize,AMZ,9.5x11.9x8.4,20.92,3/3/2017
"Dead Man's Fingers Lime Rum, 1.75l",B08VJTS6C6,DEAD MAN'S FINGERS,42.5,12083.0,56.0,8.48,3.0,5.0,17206.0,6.0,1073.0,Amazon,"Beer, Wine & Spirits",Large Oversize,AMZ,4.4x13.1x4.4,5.86,1/29/2021
"Finish All-in-One Max Dishwasher Tablets, Original, 80 tablets",B01MTETL9P,Finish,9.5,12197.0,58.0,3.44,18.0,5.0,10502.0,5.0,200.0,Amazon,Grocery,Large Oversize,AMZ,9.2x9.8x3.5,3.04,1/30/2017
"Nescafe Dolce Gusto Flat White Coffee Pods (Pack of 3, Total 48 Capsules)",B07HZFQHXZ,Dolce Gusto,10.5,11610.0,53.0,4.11,29.0,5.0,8973.0,2.0,245.0,Amazon,Drinks,Large Oversize,AMZ,5.0x14.5x4.9,1.98,10/3/2018
"Smiths Savoury Snacks Bacon Fries Carded Pub Favourites Snacks, 24 g (Pack of 24) (Packaging May Vary)",B07F579FBJ,Smiths,10.79,10606.0,54.0,4.15,19.0,5.0,13235.0,8.0,272.0,,Food Cupboard,Large Oversize,AMZ,12.8x14.6x3.0,1.65,6/29/2010
"Candy Kittens Vegan Sweets, Sour Watermelon, 54g",B07T3XG2ZX,CANDY KITTENS,1.0,10480.0,63.0,2.34,6.0,5.0,11182.0,7.0,308.0,Amazon,Food Cupboard,Standard Parcel,AMZ,3.7x5.3x0.9,0.11,6/6/2019
"The Cheeky Panda – Bamboo Toilet Tissue Paper | Pack of 4 Rolls (3-Ply, 200 Sheets) | Hypoallergenic, Plastic-Free, Eco-Friendly, Super Soft, Strong & Sustainable",B07TVF96JT,The Cheeky Panda,3.5,,4.0,2.79,6.0,5.0,3602.0,8.0,0.0,Amazon,Amazon Launchpad,Large Oversize,AMZ,8.1x8.7x4.1,1.15,5/18/2019
"Snow Globe Gin Liqueur, Orange & Gingerbread Gin Liqueur, 70cl, Illuminating Bottle",B08LNW6PJS,Gravity Drinks,24.48,9719.0,65.0,5.16,28.0,5.0,1645.0,8.0,129.0,a2zdrinks Express Delivery,"Beer, Wine & Spirits",Large Oversize,FBA,6.5x7.0x4.7,2.98,10/22/2020
J.J. Whitley Mango & Papaya Gin 1.75l,B08WQBDM1W,J.J. Whitley,44.95,10225.0,66.0,8.72,4.0,5.0,9593.0,4.0,297.0,Amazon,"Beer, Wine & Spirits",,AMZ,,6.37,2/11/2021
"Bloo Power Active Toilet Rim Block, Lemon, 50g",B072C7TVSZ,Bloo,1.0,10858.0,69.0,2.46,15.0,5.0,4412.0,7.0,274.0,Amazon,Grocery,Standard Parcel,AMZ,5.0x6.6x1.5,0.15,5/30/2017
"Method Floor Cleaner, Lemon Ginger, 739 ml",B0013FRRG6,Method,3.0,11515.0,65.0,2.75,20.0,5.0,10603.0,7.0,389.0,Amazon,Grocery,Large Oversize,FBA,4.9x10.2x2.2,1.76,10/27/2011
Moet & Chandon Brut Imperial Champagne 20cl,B007ULWJRY,Moët & Chandon,16.95,4854.0,56.0,3.94,5.0,5.0,4665.0,7.0,3750.0,,"Beer, Wine & Spirits",Large Oversize,AMZ,2.0x8.0x2.0,0.95,6/29/2010
Happy Anniversary for Coffee Lovers - Gift Set with 5 Unique Coffee Bags with Premium & Organic Ground Coffee from Around The World | Hamper Style Letterbox Present,B08HS8QJML,GROWER'S CUP,9.95,12891.0,61.0,,1.0,5.0,5021.0,8.0,245.0,The Brew Company,Hampers & Gourmet Gifts,,MFN,,,9/7/2020
Twinings English Afternoon Tea 400 Tea Bags (Multipack of 4 x 100 Tea Bags),B01LXFRFO7,Twinings,14.0,11146.0,67.0,4.8,9.0,5.0,9817.0,4.0,174.0,Amazon,Drinks,Large Oversize,AMZ,5.9x12.2x5.7,2.76,10/2/2016
LINDOR Advent Calendar Milk 300g - Assortment with an irresistibly smooth filling for a festive and magical countdown until Christmas,B07GFCQVZ5,Lindt,9.5,8008.0,77.0,3.28,61.0,5.0,1472.0,7.0,27.0,Amazon,Grocery,Large Oversize,AMZ,10.6x13.6x1.4,0.97,8/13/2018
Pukka Herbs | Active Tea Selection Box | Eco Friendly Gift | Christmas Gift | Green Tea Selection | Ideal Birthday Or Thank You Gift | Perfect For An Active Lifestyle | 45 Sachets | 5 Flavours,B089T15HQ4,Pukka Herbs,13.99,9575.0,74.0,4.63,4.0,5.0,6682.0,9.0,165.0,,Drinks,Large Oversize,AMZ,9.7x11.0x1.9,1.08,6/4/2020
Retro Sweets Mini Box | Letterbox Size Box Filled with Retro Sweets,B096ZSW6L1,Just Treats,3.74,4822.0,73.0,2.52,1.0,4.0,128.0,6.0,35.0,CB UK LTD,Hampers & Gourmet Gifts,Small Oversize,FBA,6.7x9.6x1.1,0.4,6/10/2021
"The Pink Gin Collection | Gin Gift Set 4 x 5cl Miniatures - Whitley Neill Gin Rhubarb & Ginger, Edinburgh Gin Plum & Vanilla Liqueur, Gordon's Pink Gin, Greenall's Wild Berry Gin | Gin Gifts for Women",B07K4TMCSJ,BEAMS INTERNATIONAL,10.0,8646.0,79.0,3.23,3.0,5.0,3570.0,8.0,100.0,,"Beer, Wine & Spirits",Large Oversize,AMZ,5.9x8.7x1.8,0.95,11/2/2018
HG 186050106 Mould Spray 500ml - thé effective mould spray and mildew cleaner,B000IU40HQ,HG,5.0,11994.0,73.0,3.01,13.0,5.0,20547.0,6.0,618.0,,Grocery,Large Oversize,AMZ,2.9x10.0x2.8,1.5,9/21/2006
Tanqueray London Dry Gin 1 Litre,B005RYHCUU,Tanqueray,20.0,10210.0,87.0,5.05,5.0,5.0,5162.0,4.0,196.0,Amazon,"Beer, Wine & Spirits",Large Oversize,AMZ,3.9x10.2x3.7,3.44,7/8/2011
Chocolate Lovers Ultimate Hamper Lunar Box - Huge Selection of Your Favourite Chocolate Bars,B084WQJ5G7,A-Z Sweetshop,21.5,4635.0,72.0,6.2,1.0,5.0,2899.0,6.0,0.0,CB UK LTD,Hampers & Gourmet Gifts,Large Oversize,FBA,8.9x13.0x1.9,3.13,2/18/2020
"Tassimo by Bosch Suny 'Special Edition' TAS3102GB Coffee Machine,1300 Watt, 0.8 Litre - Black",B081CYDZC1,Tassimo,29.99,10190.0,33.0,8.73,22.0,5.0,5075.0,9.0,478.0,,Home & Kitchen,Large Oversize,AMZ,11.6x13.4x8.1,5.75,11/12/2019
"Nestlé KITKAT Festive Friends Xmas Variety Pack, Milk Chocolate Figures with tasty filling, approximately 100 figures with 10 different characters",B09B7Z9KG5,Nestlé,17.33,1277.0,59.0,5.31,1.0,5.0,24.0,7.0,0.0,,Food Cupboard,Large Oversize,AMZ,7.8x11.5x3.6,2.29,7/27/2021
"HG 139100106 Liquid Drain Unblocker 1L - Unblocks Thoroughly and Effectively - for Blocked Drain Pipes in Handbasins, Toilets or Shower Traps",B000IU3VS0,HG,4.0,7687.0,77.0,3.09,15.0,4.0,12196.0,8.0,115.0,,Grocery,Large Oversize,AMZ,3.2x10.4x3.2,2.91,9/20/2006
"Green & Black's Organic Tasting Collection Chocolate Bars, 395g",B00A48154S,Green & Black's,9.2,3510.0,316.0,,14.0,5.0,7969.0,12.0,1339.0,Amazon,Food Cupboard,Large Oversize,AMZ,8.8x9.1x1.5,1.21,9/20/2011
"cadbury Heroes Chocolate Bulk Sharing Box, 2 kg",B095SZJGWH,Cadbury,20.69,10722.0,83.0,7.31,11.0,5.0,2318.0,5.0,310.0,Amazon,Food Cupboard,Large Oversize,AMZ,7.9x11.5x5.0,4.89,5/19/2021
"Finish Rinse Aid for Shinier and Drier Dishes, LEMON, 400 ml",B008EQA7SM,Finish,2.0,11117.0,83.0,2.46,32.0,5.0,5261.0,1.0,207.0,Amazon,Grocery,Large Oversize,FBA,3.7x8.8x1.7,0.97,8/20/2012
"Nescafe Dolce Gusto Café Au Lait Coffee Pods (16 Count of Pack of 3, Total 48 Capsules)",B007PRVELU,Dolce Gusto,10.5,10710.0,80.0,4.11,15.0,5.0,8625.0,6.0,181.0,Amazon,Drinks,Large Oversize,AMZ,5.0x14.4x5.0,1.83,11/26/2011
Cadbury Dairy Milk Chocolate Gift Bar 850 g,B07CX14HPC,Cadbury,5.9,11264.0,89.0,4.51,13.0,5.0,10940.0,6.0,363.0,,Food Cupboard,Large Oversize,MFN,6.7x17.7x0.8,2.43,8/23/2018
"Twinings Superblends Beetroot Tea with Ginger & Orange, 20 Teabags",B07W14FQCD,Twinings,1.35,9279.0,96.0,2.37,4.0,5.0,4654.0,1.0,208.0,Amazon,Drinks,Standard Parcel,AMZ,3.1x5.1x2.7,0.18,11/30/2020
"Celebrations Chocolate Bulk Box, Christmas Chocolate Gift, Stocking Fillers, (Maltesers, Galaxy, Snickers and More), 2.4kg",B07318ZZLL,Celebrations,19.99,10280.0,88.0,7.2,36.0,5.0,13902.0,9.0,213.0,,Food Cupboard,Large Oversize,AMZ,8.3x10.5x7.0,5.93,6/20/2017
Azera Americano Barista Style Instant Coffee 200 Sachets,B072L79WB9,NESCAFÉ,34.99,8352.0,78.0,7.85,11.0,5.0,3235.0,5.0,67.0,Amazon,Drinks,Large Oversize,AMZ,5.6x9.8x5.6,1.3,4/26/2017
"Zoflora Pink Grapefruit 500ml, Concentrated Antibacterial Disinfectant, All Purpose Cleaner, Surface Cleaning Solution, Kills 99.9% of Bacteria and Viruses",B07S8NW8F8,Zoflora,7.93,4944.0,87.0,4.0,5.0,5.0,373.0,6.0,20.0,Amazon,Grocery,Large Oversize,AMZ,3.3x8.1x2.1,1.1,1/8/2020
"The Jelly Bean Factory Huge Flavours, 1.4Kg",B0049ORRNQ,The Jelly Bean Factory,15.75,10174.0,95.0,4.98,29.0,5.0,21146.0,16.0,440.0,,Food Cupboard,Large Oversize,AMZ,4.7x5.9x4.7,3.37,6/29/2011
