Product Details,ASIN,Brand,Price,Sales,BSR,FBA Fees,Active Sellers #,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Delivery,Dimensions,Weight,Creation Date
"Cucumber, Mint & Thyme Flavoured Water Kefir Drink - Low Calorie Soft Drink - 3 x 330ml Glass Bottles - by King of Kefir",B07GY9YV6B,King of Kefir,9.99,2.0,127539.0,3.73,1.0,3.0,9.0,6.0,0.0,Bayin Foods,Fresh & Chilled,Large Oversize,FBA,8.3x10.8x3.9,3.99,8/29/2018
2020 Great Taste 3 Star Gold Award Winning Ginger Kombucha Tea from Blighty Booch | |12 x 330ml Bottles | Live Probiotic |of&G Certified| Healthy Soft Drink | Naturally Fizzy,B0878PCL9H,Blighty Booch Kombucha,38.0,2.0,130757.0,,1.0,4.0,4.0,9.0,0.0,Blighty Booch Kombucha and Blighty Brew Tea,Fresh & Chilled,,MFN,,,4/18/2020
"Lo Bros - Organic Kombucha Passionfruit - Naturally Healthy Drink Low in Sugar and Calories - 6 x 750ml, 4500 liters",B07RBBVN4B,Lo Bros,23.89,2.0,131217.0,9.13,3.0,4.0,3.0,4.0,0.0,Amazon,Fresh & Chilled,Large Oversize,AMZ,13.2x16.2x9.5,18.85,4/12/2019
"Mighty Brew Organic Kombucha, Premium Botanicals, Raw Unpasteurised, Low in Sugar - Large (6x750ml) Mix case.",B07MFMM9V4,Mighty Brew,,6.0,130431.0,,1.0,5.0,10.0,4.0,0.0,,Fresh & Chilled,Large Oversize,MFN,15.7x15.7x11.8,22.05,12/14/2017
Chilli & Ginger Flavoured Water Kefir Drink - Low Calorie Soft Drink - 3 x 330ml Glass Bottles - by King of Kefir,B07GXYMRRN,King of Kefir,9.99,4.0,132094.0,3.73,1.0,4.0,14.0,6.0,0.0,Bayin Foods,Fresh & Chilled,Large Oversize,FBA,8.3x10.8x3.9,4.03,8/28/2018
"Yakult Fermented Light Milk Drink, 7 x 65ml",B015Z9NIWW,Yakult,3.0,0.0,135048.0,,2.0,5.0,217.0,6.0,7.0,,Fresh & Chilled,Large Oversize,,3.0x10.5x1.6,1.13,9/30/2015
Fix8 Kombucha - Strawberry Tulsi Flavour Raw Kombucha Case - Deliciously Tart & Refreshing Vegan Kombucha With Live Beneficial Bacteria / Active Enzymes - Low in Sugar & Gluten-Free (12 x 330ml),B08QNFRV7Z,Fix8,,4.0,135278.0,,1.0,4.0,47.0,7.0,0.0,,Fresh & Chilled,,MFN,,,4/13/2021
Actimel Vanilla Drinking Yogurts 8 x 100g,B07W5HMJS8,Actimel,5.99,5.0,134423.0,,1.0,5.0,3.0,1.0,0.0,,Fresh & Chilled,,MFN,,,8/6/2019
"Gutsy Captain Kombucha - Raw Fermented Probiotic Kombucha, Vegan, No Preservatives, No Artificial Colours or Flavors, Non Pasteurized - 14 x 250ml Cans (MixBox)",B088FSP6XY,Captain Kombucha Legendary Healthy Drink,,,142393.0,,1.0,4.0,18.0,6.0,0.0,,Fresh & Chilled,Large Oversize,FBA,7.1x11.6x5.9,6.61,5/10/2020
"Biotiful Kefir Cherry, 250ml",B01EV58O0M,Bio-tiful,1.45,0.0,144018.0,,1.0,5.0,115.0,2.0,2.0,,Fresh & Chilled,Large Oversize,,2.1x6.1x2.0,0.63,4/27/2016
"Lo Bros - Organic Kombucha Ginger and Lemon - Naturally Healthy Drink Low in Sugar and Calories - 6 x 750ml, 4500 liters",B07R81L4FB,Lo Bros,23.89,5.0,142177.0,9.08,3.0,3.0,3.0,7.0,0.0,,Fresh & Chilled,Large Oversize,AMZ,9.8x10.2x6.7,16.53,4/12/2019
Biotiful Kefir Organic Baked Milk 250ml,B00MBH8BQA,Biotiful Dairy,,,149028.0,,1.0,5.0,5.0,5.0,0.0,,Fresh & Chilled,Large Oversize,,2.0x6.0x2.0,0.63,12/15/2015
"Gutsy Captain Kombucha - Raw Fermented Probiotic Kombucha, Vegan, No Preservatives, No Artificial Colours or Flavors, Non Pasteurized - 20 x 250ml Cans (MixBox)",B088HG781M,Captain Kombucha Legendary Healthy Drink,,,153599.0,,1.0,4.0,4.0,6.0,0.0,,Fresh & Chilled,Large Oversize,FBA,7.9x9.8x5.9,12.53,5/12/2020
"Vita Organic Kombucha Mix Pack (12 x 330 ml Bottles) - Classic, Ginger, Rose, Mint, Lavender, Aronia, Peach, Berry, Raspberry, Elderflowe, Cranberry and Cinnamon & Apple",B085VZCC3P,vitaorganic,,,155201.0,,1.0,4.0,7.0,9.0,0.0,,Fresh & Chilled,Large Oversize,MFN,7.9x10.0x7.8,9.96,3/13/2020
"JARR Ginger Kombucha, 473ml",B074XKH1NK,JARR,,,157341.0,,1.0,5.0,2.0,5.0,0.0,,All Departments,Large Oversize,,2.9x6.7x2.9,1.68,1/1/2017
L.A Brewery Natural Sparkling Kombucha Strawberry (18x330ml),B08GSSY8L4,L.A BREWERY,40.0,4.0,155771.0,,1.0,,,7.0,0.0,LA Brewery,Fresh & Chilled,,MFN,,,6/9/2021
"The Gutsy Captain Water Kefir Atlantic Raspberry, 12 x 330 ml",B088HNZVP9,The Gutsy Captain,,,166298.0,,1.0,4.0,8.0,3.0,0.0,Amazon,Fresh & Chilled,Large Oversize,AMZ,7.0x9.5x5.8,9.52,5/11/2020
"Kombucha Starter Kit With Tea | Make Your Own Kombucha Tea Using Blighty Baby's Organic SCOBY, Starter Fluid and 100g Oolong Loose Tea",B08XZN9NVG,Blighty Brew,18.99,1.0,164378.0,5.11,1.0,,,6.0,0.0,Blighty Booch Kombucha and Blighty Brew Tea,Fresh & Chilled,Large Oversize,FBA,5.0x9.6x1.6,0.55,11/3/2020
"Freshly Fermented – Organic & Vegan Certified Black Orange Kombucha Drink, 6 x 500ml",B08LVSH4LN,Freshly Fermented,25.0,4.0,168054.0,,1.0,5.0,1.0,6.0,0.0,Freshly Fermented®,Fresh & Chilled,,MFN,,,10/26/2020
"Remedy Raw Kombucha Tea - Sparkling Live Cultured Drink - Sugar Free Raspberry Lemonade - 330ml Bottle, 12-Pack",B081D8FX5L,REMEDY Kombucha,,,170684.0,,1.0,4.0,10.0,6.0,0.0,,Fresh & Chilled,,MFN,,,12/4/2019
"JARR Passion Fruit Kombucha, 473ml",B074XJS1C1,JARR,,,170873.0,,1.0,5.0,1.0,5.0,0.0,,All Departments,Large Oversize,,2.9x6.7x2.9,1.68,1/1/2017
1 Week Deal - Iaso Detoxifying Diet Tea Lose 5lbs in 5. by Iaso,B011X5JX44,tlc,,,171346.0,,1.0,3.0,7.0,9.0,0.0,,Grocery,Small Envelope,FBA,2.0x3.0x0.2,0.02,8/12/2015
"La Brewery Lemongrass Kombucha Natural Fermented Drink, 300ml",B07HW9C5JD,LA Brewery,6.12,2.0,175232.0,3.0,6.0,5.0,1.0,2.0,0.0,KRR STORE,Fresh & Chilled,Large Oversize,MFN,2.5x6.0x2.4,1.06,9/30/2018
Vita Organic Kombucha Mix Pack with 6 Different Flavours (6 x 330 ml Bottles). Raw Unpasteurised Fermented Tea Drink,B07RHQH8Z2,vitaorganic,,,177449.0,,1.0,4.0,19.0,9.0,0.0,,Fresh & Chilled,Large Oversize,FBA,6.9x7.7x5.4,4.76,2/3/2020
"JARR Original Kombucha, 473ml",B074XHW5QQ,JARR,,,180237.0,,1.0,5.0,1.0,5.0,0.0,,All Departments,Large Oversize,,2.9x6.7x2.9,1.69,1/1/2017
"Loving Foods Award Winning *Certified Organic* Kombucha & Jun-Kombucha Mixed Case (330ml) Raw, Unpasteurised & Bursting with Beneficial Live Bacteria (12 x Bottles)",B088PPKBVR,Loving Foods,41.35,0.0,193963.0,,1.0,3.0,3.0,9.0,0.0,Loving Foods,Fresh & Chilled,,MFN,,,11/16/2016
"PRESS Raspberry and Elderflower Kombucha, 275ml",B075SYYPD1,PRESS,3.0,0.0,198230.0,,1.0,4.0,13.0,1.0,1.0,,Fresh & Chilled,Large Oversize,,2.2x8.7x2.1,1.02,9/20/2017
"Biotiful Kefir Original, 250ml",B01N2XM7UM,Biotiful Dairy,1.45,0.0,198483.0,,1.0,5.0,82.0,8.0,0.0,Amazon,Fresh & Chilled,Large Oversize,AMZ,2.1x5.8x2.0,0.68,11/20/2019
"Bio-tiful Dairy Kefir Yogurt, 250 ml",B00MBH8APM,Bio-tiful Dairy,,,199847.0,,1.0,5.0,2.0,4.0,0.0,,Fresh & Chilled,Large Oversize,,2.0x6.0x2.0,0.63,12/15/2015
Actimel 0% Fat Original Drinking Yogurts 8 x 100g,B07W6FQ8LN,Actimel,5.99,0.0,201027.0,3.15,1.0,5.0,4.0,1.0,0.0,,Fresh & Chilled,Large Oversize,MFN,4.1x10.3x3.5,2.98,8/6/2019
"Loving Foods *Certified Organic* Raspberry & Tulsi Kombucha (330ml) Raw, Unpasteurised & Bursting with Beneficial Live Bacteria (1 x Bottle)",B07RC89L2Y,Loving Foods,2.95,1.0,207253.0,,1.0,4.0,1.0,8.0,0.0,Loving Foods,Fresh & Chilled,,MFN,,,5/1/2019
"Fresh, Ready to Drink Probiotic Kefir Milk Drink - 3x 500ml - Easier than grains",B01BO4VCKC,Kranastaw,,,208156.0,,1.0,3.0,26.0,4.0,0.0,,Fresh & Chilled,,,,,2/11/2016
"Kombucha Starter Kit With Tea | Make Your Own Kombucha Tea Using Blighty Baby's Organic SCOBY, Starter Fluid and 100g Mao Jian Green Loose Tea",B08XZNJRXB,Blighty Brew,16.99,1.0,209287.0,,1.0,,,6.0,0.0,Blighty Booch Kombucha and Blighty Brew Tea,Fresh & Chilled,Large Oversize,FBA,8.9x9.9x2.4,0.54,11/3/2020
"Karma Kefir Organic Elderflower and Hibiscus Non Dairy, 500ml",B0769KJVKQ,Karma Kefir,,,,,1.0,,,,0.0,,Fresh & Chilled,,,,,10/9/2017
Remedy Raw Kombucha Tea - Sparkling Live Cultured Drink - 4 Flavour Variety Pack/Mixed Case - 12 Can Case,B0844PSYS6,REMEDY Kombucha,17.99,273.0,5403.0,7.28,2.0,5.0,493.0,6.0,6.0,Remedy Drinks,Fresh & Chilled,Large Oversize,FBA,8.5x9.5x5.9,7.08,12/10/2019
"No.1 Living Kombucha Health Shots - Blueberry, Elderberry & Acai - 10 x 60ml Bottles - High Fibre, Live Cultures, Low Sugar, Vegan - Supporting Gut & Brain Health",B08MFKH57Z,No 1 Living,19.99,216.0,7250.0,5.71,1.0,4.0,100.0,7.0,3.0,No1 Living,Fresh & Chilled,Large Oversize,FBA,3.9x8.6x3.9,2.76,11/2/2020
"No.1 Living Kombucha – Apple & Elderflower – 12 x 250ml Cans – Sugar Free, Great Tasting Authentically Brewed Kombucha with Live Cultures – Lightly Sparkling, 100% Natural, Raw, Vegan",B095X85GV4,No 1 Living,19.99,195.0,10191.0,7.59,2.0,4.0,179.0,7.0,11.0,No1 Living,Fresh & Chilled,Large Oversize,FBA,6.8x8.8x5.7,6.94,12/8/2020
Genie Kombucha - Dry Apple Kombucha - Fermented Cultures - No Added Sugar - No Sweetener - Dry Apple - Case of 12 x 330ml Cans,B09FLWQR3H,Genie Living Drinks,22.5,113.0,10837.0,8.06,1.0,5.0,100.0,5.0,0.0,Genie Drinks,Fresh & Chilled,Large Oversize,MFN,7.9x11.0x5.5,10.36,9/6/2021
"Remedy Raw Kombucha Tea - Sparkling Live Cultured Drink - Sugar Free Raspberry Lemonade - 250ml Can, 24-Pack",B07L6MFWVS,REMEDY Kombucha,29.99,147.0,13164.0,9.86,3.0,5.0,100.0,6.0,3.0,Remedy Drinks,Fresh & Chilled,Large Oversize,FBA,9.1x13.2x5.7,14.44,7/4/2018
"No.1 Living Kombucha – The Original Mix – 12 x 250ml Cans – Ginger, Raspberry, Passion Fruit - Sugar Free, Great Tasting Kombucha with Live Cultures – Lightly Sparkling, 100% Natural, Raw, Vegan",B08DD6YG8Y,No 1 Living,21.99,99.0,18638.0,7.89,3.0,4.0,32.0,9.0,1.0,No1 Living,Fresh & Chilled,Large Oversize,FBA,6.8x8.8x5.8,6.94,7/19/2020
Remedy Raw Kombucha Tea - Sparkling Live Cultured Drink - Sugar Free Raspberry Lemonade & Cherry Plum Twin Pack - 24 250ml Cans,B0815PTVBJ,REMEDY Kombucha,29.99,108.0,13928.0,9.86,2.0,5.0,137.0,7.0,1.0,Remedy Drinks,Fresh & Chilled,Large Oversize,FBA,8.9x14.9x6.1,14.53,12/4/2019
"Remedy Raw Kombucha Tea - Sparkling Live Cultured Drink - Sugar Free Apple Crisp - 250ml Can, 24-Pack",B07L6PNS21,REMEDY Kombucha,29.99,72.0,15895.0,9.86,4.0,5.0,63.0,1.0,0.0,Remedy Drinks,Fresh & Chilled,Large Oversize,FBA,9.7x12.0x6.1,14.35,7/4/2018
"The Gutsy Captain - Kombucha Tea, Certified Organic - Natural Fermented Probiotic Drink Coconut Summer Beach 1 Litre (Pack of 6)",B088HS98CY,The Gutsy Captain,23.98,95.0,20507.0,8.94,1.0,4.0,118.0,4.0,-1.0,Amazon,Fresh & Chilled,Large Oversize,AMZ,9.2x10.2x6.9,14.02,5/11/2020
"Remedy Raw Kombucha Tea - Sparkling Live Cultured Drink - Sugar Free Raspberry Lemonade - 700ml Bottle, 6-Pack",B08173CXTR,REMEDY Kombucha,19.99,58.0,21086.0,,1.0,5.0,88.0,5.0,0.0,Remedy Drinks,Fresh & Chilled,Large Oversize,FBA,9.0x9.3x6.1,9.92,12/4/2019
"Kombucha Starter Kit with Tea | Make Your Own Kombucha Tea Using Blighty Baby's Organic SCOBY, Starter Fluid and 100g Orange Pekoe Black Loose Tea",B08MKYGZ7M,Blighty Brew,15.99,31.0,46371.0,4.78,1.0,4.0,12.0,6.0,0.0,Blighty Booch Kombucha and Blighty Brew Tea,Fresh & Chilled,Small Oversize,FBA,4.3x8.7x1.6,0.53,11/3/2020
Remedy Raw Kombucha Tea - Sparkling Live Cultured Drink - Raspberry Lemonade + Peach Twin Pack,B0934BF66L,REMEDY Kombucha,29.99,9.0,61068.0,,1.0,5.0,4.0,8.0,0.0,Remedy Drinks,Fresh & Chilled,,MFN,,,4/21/2021
L.A Brewery Craft Kombucha Citrus Hops (12x330ml),B08GM2YZPN,L.A BREWERY,30.0,19.0,40495.0,11.27,1.0,5.0,15.0,7.0,0.0,LA Brewery,Fresh & Chilled,Large Oversize,FBA,10.8x11.2x8.5,16.42,3/3/2021
"Lo Bros Organic Kombucha Ginger and Lemon, 330ml",B07DPSRLDT,Lo Bros,2.0,10.0,55978.0,,1.0,4.0,54.0,3.0,0.0,Amazon,Fresh & Chilled,Large Oversize,AMZ,2.4x7.8x2.4,1.23,6/12/2018
Ginger Kombucha - 1 x 275 ml,B08BNB3LBJ,Good Earth Tea Co.,2.06,37.0,27392.0,2.67,7.0,4.0,19.0,5.0,1.0,Amazon,Fresh & Chilled,Large Oversize,AMZ,3.1x14.6x3.0,1.12,6/17/2020
Original Kombucha - 1 x 275 ml,B08BN5NS9S,Good Earth Tea Co.,2.3,31.0,37482.0,2.69,1.0,4.0,27.0,4.0,0.0,Amazon,Fresh & Chilled,Large Oversize,AMZ,3.0x11.2x2.6,1.1,6/17/2020
"REAL Kombucha - Mixed Case 12x275ml Bottles - Sparkling Fermented Tea - Premium Kombucha, 100% Natural, Low Sugar, Low Calories, Vegan Friendly - from Exquisite Loose-Leaf Teas",B087XC7J6Q,REAL Kombucha,,27.0,40045.0,,1.0,5.0,28.0,7.0,0.0,,Fresh & Chilled,,MFN,,,5/13/2020
Booch & Brew presents Hip Pop Kombucha –Ginger Yuzu Vegan Flavour – 12 x 300ml Authentic Fermented Kombucha Drink Non Alcoholic Drinks Gift Set – Organic Kombucha Tea Drink,B083ZGX95Y,Booch & Brew,27.99,5.0,34879.0,,1.0,5.0,25.0,6.0,0.0,Booch & Brew,Fresh & Chilled,,MFN,,,1/18/2020
The Gutsy Captain Kombucha Ginger Can 250 ml,B08M52G596,Captain Kombucha,2.09,0.0,295443.0,2.38,1.0,3.0,9.0,1.0,0.0,Amazon,Fresh & Chilled,Large Oversize,AMZ,1.9x5.3x1.9,0.6,10/19/2020
"Loving Foods Award Winning *Certified Organic* Kombucha Mixed Case (330ml) Raw, Unpasteurised & Bursting with Beneficial Live Bacteria (12 x Bottles)",B07CVFDMMS,Loving Foods,34.35,2.0,192076.0,,1.0,5.0,3.0,9.0,0.0,Loving Foods,Fresh & Chilled,,MFN,,,11/16/2016
"Remedy Raw Kombucha Tea - Sparkling Live Cultured Drink - Sugar Free Peach - 700ml Bottle, 6-Pack",B08XW7PZJP,REMEDY Kombucha,19.99,13.0,50540.0,,1.0,5.0,6.0,7.0,0.0,Remedy Drinks,Fresh & Chilled,,MFN,,,12/4/2019
"Mixed Flavour Kombucha Tea by Blighty Booch | Cherry, Ginger, Nettle & Rose Hip, and Original | |12 x 330ml Bottles | A Healthy Soft Drink",B08DP5N2PR,Blighty Booch Kombucha,38.0,0.0,54992.0,,1.0,4.0,2.0,9.0,0.0,Blighty Booch Kombucha and Blighty Brew Tea,Fresh & Chilled,,MFN,,,7/27/2020
L.A Brewery Natural Sparkling Kombucha Variety Pack (18x330ml),B08M3NYKDZ,L.A BREWERY,40.0,24.0,46989.0,,1.0,5.0,4.0,7.0,0.0,LA Brewery,Fresh & Chilled,,MFN,,,6/9/2021
"MOMO Kombucha, Handcrafted Organic Mixed Variety Box, Raspberry-Hibiscus, Turmeric, Elderflower, Ginger and Lemon Kombucha Tea, Fermented Probiotic Drinks, Certified Organic - 330ml Glass Bottle x12",B09BW6XQRN,Momo Kombucha,45.0,8.0,69829.0,,1.0,,,1.0,0.0,MOMO Kombucha Ltd,Fresh & Chilled,,MFN,,,8/4/2021
"Remedy Kombucha Organic Cans, Ginger lemon, 250ml",B07P7VQ5SZ,Remedy,1.71,3.0,67766.0,2.59,1.0,4.0,23.0,3.0,0.0,Amazon,Fresh & Chilled,Large Oversize,AMZ,2.0x5.2x2.0,0.57,2/27/2019
Ranong Tea Original Ginger Drink 10 Sachets 100 g,B074ZDGNQX,Ranong tea,3.3,28.0,73189.0,2.45,3.0,4.0,14.0,4.0,0.0,Amazon,Fresh & Chilled,Standard Parcel,AMZ,4.0x4.6x3.0,0.22,6/14/2016
"The Gutsy Captain Kombucha Zero Passionfruit, 400 ml x 12",B08ZTFSDG2,The Gutsy Captain,25.35,22.0,76837.0,9.0,1.0,5.0,3.0,2.0,0.0,Amazon,Fresh & Chilled,Large Oversize,AMZ,7.9x12.2x6.4,11.05,3/17/2021
Remedy Raw Kombucha Tea - Mixed Case of Fruity Kombucha x 4 Flavours,B0933NGPJ8,REMEDY Kombucha,,37.0,77824.0,,1.0,4.0,6.0,9.0,2.0,,Fresh & Chilled,,MFN,,,4/25/2021
Remedy Raw Kombucha Tea - Sparkling Live Cultured Drink - 4 Flavour Mixed Case - 12x330ml Bottle Case,B085T6FJYL,REMEDY Kombucha,,19.0,78886.0,,1.0,4.0,64.0,8.0,0.0,,Fresh & Chilled,,MFN,,,3/11/2020
"Remedy Raw Peach Kombucha Tea - Sparkling Live Cultured Drink - Sugar Free Peach - 24-Pack, 250ml Can",B096VJJ2BP,REMEDY Kombucha,29.99,21.0,79286.0,,1.0,3.0,1.0,6.0,0.0,Remedy Drinks,Fresh & Chilled,,MFN,,,6/9/2021
Left Field Kombucha Mixed Case 330ml (4),B084JMDB4X,Left Field Kombucha,12.0,10.0,79671.0,5.98,1.0,5.0,10.0,7.0,1.0,Left Field Kombucha,Fresh & Chilled,Large Oversize,FBA,6.6x9.6x6.3,5.32,1/8/2020
L.A Brewery Natural Sparkling Kombucha Lemongrass (18x330ml),B08GSTT97L,L.A BREWERY,40.0,3.0,86842.0,,1.0,5.0,1.0,7.0,0.0,LA Brewery,Fresh & Chilled,,MFN,,,8/27/2020
"REAL Kombucha - A Case of Dry Dragon, 12x275ml Bottles - Citrusy with Notes of Green Apple - Premium Kombucha Fermented from Dragonwell Green Tea - Low Sugar, Low Calories, 100% Natural",B088LBNJP8,REAL Kombucha,37.98,24.0,91294.0,,3.0,5.0,3.0,4.0,0.0,Superfood Market,Fresh & Chilled,,MFN,,,5/13/2020
Remedy Raw Kombucha Tea - Sparkling Live Cultured Drink - Sugar-Free Peach - 12x330 Milliliter Bottle Case,B0854CT8LC,REMEDY Kombucha,29.51,7.0,90332.0,7.02,4.0,5.0,12.0,4.0,0.0,KRR STORE,Fresh & Chilled,Large Oversize,MFN,2.5x8.3x2.5,1.28,3/3/2020
"Fix8 Kombucha - Kombucha Taster Case - 4 x Triple Ginger, 4 x Strawberry Tulsi, 4 x Citrus Saffron - Deliciously Tart & Refreshing Vegan Kombucha - Low in Sugar & Gluten Free (12 x 330ml)",B08NGQWFVD,Fix8,24.0,4.0,91853.0,8.28,1.0,4.0,16.0,7.0,0.0,,Fresh & Chilled,Large Oversize,FBA,8.2x10.9x4.1,9.39,11/14/2020
L.A Brewery Craft Kombucha Variety Pack (12x330ml),B098P1RPMC,L.A BREWERY,30.0,19.0,99243.0,10.01,1.0,4.0,3.0,7.0,0.0,LA Brewery,Fresh & Chilled,Large Oversize,FBA,10.0x11.0x8.6,16.45,7/15/2021
L.A Brewery Natural Sparkling Kombucha Ginger 18x330ml,B08GTHRDN8,L.A BREWERY,40.0,6.0,96580.0,,1.0,5.0,1.0,7.0,0.0,LA Brewery,Fresh & Chilled,,MFN,,,6/9/2021
"No.1 Living Kombucha – The Full Mix – 24 x 250ml Cans - 4 Flavours - Sugar Free, Great Tasting Kombucha with Live Cultures – Lightly Sparkling, 100% Natural, Raw, Vegan",B08HVQ4987,No 1 Living,,1.0,108391.0,,1.0,4.0,28.0,7.0,0.0,,Fresh & Chilled,Large Oversize,MFN,9.0x13.2x5.8,13.9,9/11/2020
"Kombucha Starter Kit With Tea | Make Your Own Kombucha Tea Using Blighty Baby's Organic SCOBY, Starter Fluid and 100g Premium Black Loose Tea",B08XZRRSTQ,Blighty Brew,20.99,3.0,112430.0,5.53,1.0,,,6.0,0.0,Blighty Booch Kombucha and Blighty Brew Tea,Fresh & Chilled,Large Oversize,FBA,5.0x9.1x2.2,0.56,11/3/2020
"Equinox Kombucha Equinox Kombucha Organic Wild Berry Soft Drink, 275 Millilitre",B01GJNJWF0,Equinox Kombucha,,1.0,115825.0,,1.0,4.0,27.0,1.0,0.0,Amazon,Fresh & Chilled,Large Oversize,AMZ,2.1x8.8x2.1,0.95,6/28/2016
"The Gutsy Captain Kefir Water Cola, 400 ml x12",B08WQWKLZS,The Gutsy Captain,25.05,7.0,113966.0,8.94,1.0,1.0,1.0,1.0,0.0,,Fresh & Chilled,Large Oversize,AMZ,8.1x12.1x6.5,11.27,2/11/2021
"Remedy Raw Kombucha Tea - Sparkling Live Cultured Drink - Sugar Free Ginger Lemon - 330ml Bottle, 12-Pack",B081BBKFLQ,REMEDY Kombucha,,9.0,117382.0,,1.0,5.0,12.0,4.0,0.0,,Fresh & Chilled,,MFN,,,11/14/2019
"Loving Foods *Certified Organic* Blueberry & Lavender Kombucha (330ml) Raw, Unpasteurised & Bursting with Beneficial Live Bacteria (1 x Bottle)",B01N941GPR,Loving Foods,2.95,5.0,124641.0,,1.0,5.0,12.0,8.0,0.0,Loving Foods,Fresh & Chilled,,MFN,,,11/16/2016
"Mighty Brew Organic Kombucha, Premium Botanicals, Raw Unpasteurised, Low in Sugar - Large (6x750ml) Mix case.",B07MFMM9V4,Mighty Brew,,6.0,130431.0,,1.0,5.0,10.0,4.0,0.0,,Fresh & Chilled,Large Oversize,MFN,15.7x15.7x11.8,22.05,12/14/2017
Fix8 Kombucha - Strawberry Tulsi Flavour Raw Kombucha Case - Deliciously Tart & Refreshing Vegan Kombucha With Live Beneficial Bacteria / Active Enzymes - Low in Sugar & Gluten-Free (12 x 330ml),B08QNFRV7Z,Fix8,,4.0,135278.0,,1.0,4.0,47.0,7.0,0.0,,Fresh & Chilled,,MFN,,,4/13/2021
"Gutsy Captain Kombucha - Raw Fermented Probiotic Kombucha, Vegan, No Preservatives, No Artificial Colours or Flavors, Non Pasteurized - 14 x 250ml Cans (MixBox)",B088FSP6XY,Captain Kombucha Legendary Healthy Drink,,,142393.0,,1.0,4.0,18.0,6.0,0.0,,Fresh & Chilled,Large Oversize,FBA,7.1x11.6x5.9,6.61,5/10/2020
"Gutsy Captain Kombucha - Raw Fermented Probiotic Kombucha, Vegan, No Preservatives, No Artificial Colours or Flavors, Non Pasteurized - 20 x 250ml Cans (MixBox)",B088HG781M,Captain Kombucha Legendary Healthy Drink,,,153599.0,,1.0,4.0,4.0,6.0,0.0,,Fresh & Chilled,Large Oversize,FBA,7.9x9.8x5.9,12.53,5/12/2020
"Vita Organic Kombucha Mix Pack (12 x 330 ml Bottles) - Classic, Ginger, Rose, Mint, Lavender, Aronia, Peach, Berry, Raspberry, Elderflowe, Cranberry and Cinnamon & Apple",B085VZCC3P,vitaorganic,,,155201.0,,1.0,4.0,7.0,9.0,0.0,,Fresh & Chilled,Large Oversize,MFN,7.9x10.0x7.8,9.96,3/13/2020
"JARR Ginger Kombucha, 473ml",B074XKH1NK,JARR,,,157341.0,,1.0,5.0,2.0,5.0,0.0,,All Departments,Large Oversize,,2.9x6.7x2.9,1.68,1/1/2017
L.A Brewery Natural Sparkling Kombucha Strawberry (18x330ml),B08GSSY8L4,L.A BREWERY,40.0,4.0,155771.0,,1.0,,,7.0,0.0,LA Brewery,Fresh & Chilled,,MFN,,,6/9/2021
"Kombucha Starter Kit With Tea | Make Your Own Kombucha Tea Using Blighty Baby's Organic SCOBY, Starter Fluid and 100g Oolong Loose Tea",B08XZN9NVG,Blighty Brew,18.99,1.0,164378.0,5.11,1.0,,,6.0,0.0,Blighty Booch Kombucha and Blighty Brew Tea,Fresh & Chilled,Large Oversize,FBA,5.0x9.6x1.6,0.55,11/3/2020
"Freshly Fermented – Organic & Vegan Certified Black Orange Kombucha Drink, 6 x 500ml",B08LVSH4LN,Freshly Fermented,25.0,4.0,168054.0,,1.0,5.0,1.0,6.0,0.0,Freshly Fermented®,Fresh & Chilled,,MFN,,,10/26/2020
"Remedy Raw Kombucha Tea - Sparkling Live Cultured Drink - Sugar Free Raspberry Lemonade - 330ml Bottle, 12-Pack",B081D8FX5L,REMEDY Kombucha,,,170684.0,,1.0,4.0,10.0,6.0,0.0,,Fresh & Chilled,,MFN,,,12/4/2019
"JARR Passion Fruit Kombucha, 473ml",B074XJS1C1,JARR,,,170873.0,,1.0,5.0,1.0,5.0,0.0,,All Departments,Large Oversize,,2.9x6.7x2.9,1.68,1/1/2017
1 Week Deal - Iaso Detoxifying Diet Tea Lose 5lbs in 5. by Iaso,B011X5JX44,tlc,,,171346.0,,1.0,3.0,7.0,9.0,0.0,,Grocery,Small Envelope,FBA,2.0x3.0x0.2,0.02,8/12/2015
"La Brewery Lemongrass Kombucha Natural Fermented Drink, 300ml",B07HW9C5JD,LA Brewery,6.12,2.0,175232.0,3.0,6.0,5.0,1.0,2.0,0.0,KRR STORE,Fresh & Chilled,Large Oversize,MFN,2.5x6.0x2.4,1.06,9/30/2018
Vita Organic Kombucha Mix Pack with 6 Different Flavours (6 x 330 ml Bottles). Raw Unpasteurised Fermented Tea Drink,B07RHQH8Z2,vitaorganic,,,177449.0,,1.0,4.0,19.0,9.0,0.0,,Fresh & Chilled,Large Oversize,FBA,6.9x7.7x5.4,4.76,2/3/2020
"JARR Original Kombucha, 473ml",B074XHW5QQ,JARR,,,180237.0,,1.0,5.0,1.0,5.0,0.0,,All Departments,Large Oversize,,2.9x6.7x2.9,1.69,1/1/2017
"Loving Foods Award Winning *Certified Organic* Kombucha & Jun-Kombucha Mixed Case (330ml) Raw, Unpasteurised & Bursting with Beneficial Live Bacteria (12 x Bottles)",B088PPKBVR,Loving Foods,41.35,0.0,193963.0,,1.0,3.0,3.0,9.0,0.0,Loving Foods,Fresh & Chilled,,MFN,,,11/16/2016
